invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I180920,C258332,Souvenir,1,11.73,23-10-2022,Mall of Istanbul
I228446,C892382,Clothing,1,300.08,22-08-2021,Istinye Park
I128686,C214740,Clothing,2,600.16,08-07-2021,Istinye Park
I714478,C278988,SOUVENIR,1,11.73,18-04-2022,Emaar Square Mall
I159136,C135574,Food & Beverage,3,15.69,22-10-2022,Metrocity
I271541,C214564,,4,1200.32,09-05-2021,Zorlu Center
I443115,C206956,Clothing,1,300.08,17-05-2021,Metropol AVM
I575291,C287568,Cosmetics,2,81.32,23-04-2022,Mall of Istanbul
I140539,C858027,Clothing,3,900.24,27-01-2023,Mall of Istanbul
I288310,C935338,Food & Beverage,1,5.23,18-11-2022,Kanyon
I221059,C163531,Books,5,75.75,08-09-2022,Forum Istanbul
I196508,C166064,Clothing,3,900.24,08-08-2021,Viaport Outlet
I682334,C598783,Toys,5,179.2,12-04-2021, ISTINYE PARK 
I223097,C229825,Clothing,2,600.16,12-11-2021,Kanyon
I514820,C176711,Souvenir,4,46.92,Jun 10 2021,Metropol AVM
I130471,C149667,Clothing,2,$600.16,29-03-2021,Kanyon
I319758,C211904,Shoes,1,600.17,23-02-2022,Metropol AVM
I288539,C281622,Clothing,3,900.24,2022-06-08,Kanyon
I238794,C192950,Clothing,2,600.16,07-04-2022,Istinye Park
I304970,C129336,Clothing,3,900.24,28/11/2022,Istinye Park
I163492,C174945,Food & Beverage,2,10.46,11-17-2022,Istinye Park
I799310,C348858,Clothing,1,300.08,08-01-2021,Kanyon
I150192,C162181,Shoes,3,$1800.51,18.01.2022, METROPOL AVM 
I322353,C116169,Technology,5, 5250.0 ,18-07-2021,Metrocity
I177504,C113025,Food & Beverage,1,5.23,12-08-2022,Cevahir AVM
I881336,C252637,Clothing,3,900.24,26-04-2021,Emaar Square Mall
I690008,C222252,Cosmetics,5,203.3,15-12-2021,Metrocity
I287141,C752382,Clothing,1,300.08,26/04/2022,Mall of Istanbul
I320360,C279238,Clothing,3,900.24,Jan 02 2023,Kanyon
I171509,C211473,Souvenir,4,-46.92,28-09-2021,Metropol AVM
I307214,C193977,Shoes,2,1200.34,02-06-2023,Metrocity
I258419,C206512,Shoes,2,1200.34,15-06-2022,Istinye Park
I252608,C227146,Clothing,2,600.16,24-04-2022,Metrocity
I144273,C291859,Toys,5,179.2,15-12-2022,Mall of Istanbul
I244921,C127566,Cosmetics,3,121.98,28-07-2022,Mall of Istanbul
I172166,C309357,,-5.0,26.15,25-03-2022,Kanyon
I260381,C268099,Technology,2,2100.0,11-07-2022,Mall of Istanbul
I158323,C146441,Clothing,5,1500.4,21-08-2022,Mall of Istanbul
I226339,C141645,Clothing,4,1200.32,09-09-2022, METROPOL AVM 
I142771,C250790,,2,2100.0,06-02-2023,Cevahir AVM
I455096,C703897,Souvenir,1,11.73,16-03-2021,Mall of Istanbul
I108426,C293128,Toys,2,71.68,06-12-2021,Viaport Outlet
I282129,C175319,Toys,4,143.36,Jan 04 2021,Zorlu Center
I291058,C461713,Cosmetics,2,81.32,25-01-2021,Mall of Istanbul
I262999,C159744,Toys,2,$71.68,02-05-2022,Kanyon
I521482,C211623,Clothing,5,1500.4,23-02-2023,Mall of Istanbul
I285513,C274985,Books,5,75.75,07-08-2022,Kanyon
I249304,C358945,Books,2,30.3,23-07-2021,
I189609,C209825,Food & Beverage,3,15.69,12-05-2022,Mall of Istanbul
I183761,C616478,Food & Beverage,2,$10.46,19-06-2022,Kanyon
I508539,C201367,Shoes,4,2400.68,16-06-2022,Metropol AVM
I271176,C269194,Clothing,5,1500.4,27-09-2022,Istinye Park
I921627,C181365,Clothing,5,1500.4,21-04-2022,Mall of Istanbul
I111770,C763814,Technology,1,1050.0,29-04-2022,Kanyon
I224365,C714510,Shoes,4,2400.68,2022-07-18,Mall of Istanbul
I100519,C233898,Clothing,4,1200.32,25.01.2021,Kanyon
I242088,C164620,Toys,5,179.2,06-03-2021,Metropol AVM
I882991,C146447,Clothing,TBD,1200.32,13-01-2023,Mall of Istanbul
I999141,C908761,Clothing,1,300.08,09-04-2021,Viaport Outlet
I133496,C316943,Shoes,1,600.17,16-01-2023,Mall of Istanbul
I361493,C907954,Cosmetics,2,-81.32,28-05-2021,Kanyon
I181219,C311206,Clothing,2,600.16,09-11-2022,Metrocity
I125025,C282994,Technology,5,5250.0,09.06.2021,Istinye Park
I254746,C277455,Toys,5,179.2,26-01-2022,Kanyon
I299772,C112833,Clothing,3,900.24,27-12-2022,Istinye Park
I239985,C131520,Clothing,4,1200.32,01-06-2021,Kanyon
I752037,C226763,Clothing,4,1200.32,05/04/2021,Mall of Istanbul
I110678,C713057,shoes,2,1200.34,31-08-2022,Metrocity
I163557,C315517,Food & Beverage,5,26.15,05-09-2022, ISTINYE PARK 
I567792,C974670,Food & Beverage,5, 26.15 ,2022-08-29, MALL OF ISTANBUL 
